#rank      cc Fish-z  rel-z        x        y        z    a11    a12    a13    a21    a22    a23    a31    a32    a33
126     0.762  1.001 111.919  -56.166   25.458   10.913 -0.184 -0.548  0.816 -0.548 -0.632 -0.548  0.816 -0.548 -0.184
127     0.762  1.000 111.808  -10.166   56.458    5.913 -0.896 -0.258  0.362 -0.258 -0.362 -0.896  0.362 -0.896  0.258
128     0.762  1.000 111.788  -44.166  -30.542    4.913 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
129     0.761  1.000 111.727   -2.166   63.458    6.913 -0.896 -0.362  0.258  0.362 -0.258  0.896 -0.258  0.896  0.362
130     0.761  1.000 111.714  -10.166   55.458   23.913 -0.816 -0.184  0.548 -0.548  0.548 -0.632 -0.184 -0.816 -0.548
131     0.761  0.999 111.635   17.834   31.458  -16.087 -0.797  0.000 -0.604  0.604  0.000 -0.797  0.000 -1.000  0.000
132     0.760  0.996 111.346   49.834   30.458    0.913  0.184 -0.548  0.816  0.548 -0.632 -0.548  0.816  0.548  0.184
133     0.760  0.996 111.258   42.834   38.458   17.913  0.258 -0.362  0.896 -0.362 -0.896 -0.258  0.896 -0.258 -0.362
134     0.759  0.994 111.089   13.834  -45.542   27.913 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
135     0.759  0.994 111.049   49.834   24.458   10.913 -0.896 -0.362 -0.258  0.362 -0.258 -0.896  0.258 -0.896  0.362
136     0.758  0.993 110.926   -5.166   61.458   14.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
137     0.758  0.992 110.835   40.834   31.458   17.913 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
138     0.758  0.991 110.783   50.834   21.458    1.913 -0.632  0.548 -0.548  0.548 -0.184 -0.816 -0.548 -0.816 -0.184
139     0.757  0.989 110.574  -28.166  -35.542   14.913 -0.816 -0.548  0.184 -0.184  0.548  0.816 -0.548  0.632 -0.548
140     0.756  0.988 110.387  -14.166   55.458   32.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
141     0.756  0.987 110.333   50.834  -18.542   26.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
142     0.756  0.987 110.310  -45.166   15.458   33.913 -0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000  0.604
